"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824.429840221322,515.246282766723,805.733142289005,753.51305416648,794.075767486537,721.269225297835,675.213110724732,702.703536998266,609.637399855648,835.479529910025,774.182659150008,542.143916580253,666.220114667265,561.788481585444,792.088273278987,593.115076013569,798.753379429791,714.150837472849,539.775093178357,624.023415120273,828.349044117187,788.196794484387,750.501781943958,613.615332926774,814.004264102278,704.088571912153,595.808320596299,666.245103558516,681.050544464963,737.860183763205,667.583883055138,586.712642674046,737.855320790714,800.551413718167,699.381977146452,731.032614430948,794.671617401056,565.057728742151,836.130811641498,671.138590231304,710.238212543302,765.791892961245,583.607906978646,542.200959550909,751.613738735413,693.036169741172,553.65933388304,533.465109114782,832.678938887336,655.741583331037,686.913069820668,603.182606499137,791.31785625828,719.348982801887,738.807303963475,690.754638335494,738.721174232818,720.508101497679,530.291845982504,714.983989772795,514.177608580603,756.658679271332,554.950425459634,555.366754049014,644.849147990372,649.966733135092,693.044406614424,755.237680640899,795.906209665801,651.386670206397,600.480674289175,656.90075256776,717.172984668277,522.446354720179,688.462911567655,587.715255455919,668.370333594339,619.147389845746,726.984583685445,694.147493582865,706.468495093663,736.322456287234,802.415829174199,672.053886874858,523.408254919206,831.875881382009,608.812034478016,735.946711938582,810.58083322162,760.090960742534,534.674414135491,573.248570759697,795.010656350214,788.009746140364,809.206607664015,805.404636893786,744.822310788612,805.20702837727,813.764418514408,636.524118099921
1748.25596562084,1108.0651590448,1713.16185191692,1606.65005066328,1682.7262086638,1531.65871397246,1443.91259944322,1495.59091804874,1299.39861266006,1778.40802501787,1641.29163160066,1155.326615014,1417.47889043671,1198.06200295959,1682.90328243515,1267.21573469689,1704.28110352571,1520.01826591125,1152.30429061039,1331.44239237694,1756.75960287901,1673.07095238865,1597.8065037084,1309.60704871821,1725.69716302084,1507.18095294097,1271.59933074735,1419.09188402638,1453.78621647374,1575.41035972117,1428.56556645467,1255.5891716142,1566.42631335878,1705.25563098838,1491.69728347707,1559.39221466488,1694.07146329973,1207.39649872104,1776.45382835835,1427.45602946476,1510.14648811901,1621.74582832356,1243.94326277032,1161.12213441041,1597.97759463258,1475.52285940946,1182.13550106615,1142.95780355676,1770.57331944147,1396.28374193621,1470.45527948681,1287.12661808203,1682.36111763983,1523.24921976477,1569.62438161121,1475.05586333158,1565.277373401,1540.97330870703,1133.57212916034,1521.00193016745,1106.37401250319,1610.30047153848,1182.93773882267,1186.31846782947,1375.84631380045,1388.90475977337,1477.80524668075,1604.13810593773,1691.87806634657,1397.56539209249,1285.72980891722,1400.9032434942,1527.12995514192,1116.51309990406,1474.73696201798,1260.94909404929,1425.10421704341,1324.19771357536,1547.9608356333,1476.76634742966,1501.09504647346,1566.37620768074,1702.87489382206,1433.11643194738,1117.23838187115,1763.22121301488,1295.87703575705,1573.12029612732,1724.79618645431,1606.71424075078,1146.335847548,1229.29495315856,1698.0231586364,1676.27732442496,1722.11233511814,1710.1036332147,1580.6846651839,1707.91148182935,1733.81649587404,1362.96647147668
2140.3718999662,1391.03516903042,2106.55814131086,1984.58815391055,2057.51519292226,1879.18690673901,1792.40748716717,1841.85978347038,1604.9578861859,2191.18426770492,2008.20955969609,1427.91216216124,1744.92969701449,1482.0246704111,2066.69688064216,1571.71641156032,2107.81609074791,1872.03876731113,1428.39692139507,1647.15114571276,2151.21965832498,2051.40107409652,1968.69272153887,1621.0523663829,2111.73097639772,1873.914162525,1574.29456980325,1750.10863050138,1799.26944283519,1950.36030130268,1775.40377366105,1561.63821122241,1920.90844254946,2103.17006685856,1843.59256963309,1927.57118508446,2092.08194336024,1498.34646120401,2181.95127697196,1756.17160666103,1856.73279538945,1980.67354985476,1536.96847133028,1446.74909754454,1964.41363455806,1818.2247502245,1465.40940702808,1425.47124790565,2177.66240305635,1721.18127739896,1828.41355787409,1592.95496605434,2068.26762485545,1860.04416889571,1927.23700480596,1826.67729852157,1913.40687422979,1913.10398927484,1408.54202127614,1871.63173204972,1390.19915394339,1982.846167993,1462.36673925329,1471.65373281123,1701.75542458713,1722.24644103388,1825.68113231902,1968.83810339185,2079.51301633504,1744.56947425379,1600.26119779826,1731.27682434435,1882.18345715715,1386.98009885374,1835.71325392011,1574.90887411355,1760.55232291686,1644.7519770896,1907.71647773498,1817.45648033876,1843.4950842566,1927.40681181539,2087.27427690514,1770.74615477608,1385.12270346881,2157.09047996924,1597.01421613943,1951.21420967105,2123.62367371899,1956.27286057277,1431.27114823234,1534.39669762607,2103.60031065491,2062.70855421973,2120.79844524697,2097.96925118895,1937.31479963581,2091.65733910542,2139.36424944132,1695.9680596402
2314.11376051723,1545.76054364381,2288.73407387918,2166.90444553933,2220.92778047608,2035.67683097063,1967.46952336734,2003.70399254512,1751.25460802032,2386.53716832603,2169.17784882917,1558.91266404885,1897.06443559805,1619.67706569562,2241.96984580646,1723.03399199883,2305.25848725773,2036.75453569909,1564.70176638229,1800.64159233813,2326.43229348203,2221.33389366566,2143.32548407978,1773.19022307822,2281.75606266674,2060.9109887097,1722.30661416273,1906.67291915513,1968.31155617571,2134.83058379175,1951.31189868151,1717.39212898436,2079.86642567381,2292.89887750837,2013.71145087103,2106.12584536861,2284.1222600271,1643.49837687223,2367.99896762247,1908.03061436383,2016.15476130431,2134.86861714274,1677.56664918914,1594.12197552934,2133.09476580496,1979.25605650698,1605.33914330185,1572.34433625275,2366.95614649706,1874.0882073244,2010.92379071114,1742.058842421,2246.44885948859,2004.01626426981,2089.7181030128,1999.72895755477,2064.21242349632,2100.62438179431,1547.13062188664,2034.30580167616,1546.45308858836,2157.25182475367,1596.98456533708,1613.51088717275,1860.06131909086,1887.92226230044,1993.16846119614,2134.02470135476,2258.14953940801,1926.97831238589,1761.36547230165,1890.57948707483,2049.54539016723,1522.96653063949,2021.44548013901,1740.29629430953,1921.84484574032,1806.20777080888,2077.26391579035,1975.56743667015,1999.12953648754,2095.05406178127,2259.50781803037,1933.3693897507,1517.4890457441,2330.29233459138,1738.11417524713,2140.36736571167,2310.77295448823,2101.05552849581,1580.73887129934,1694.2304543311,2305.01645393207,2242.765664516,2308.27979121005,2273.39975994184,2096.35887014692,2262.06286283897,2333.72679061291,1866.40658168233
2382.6785497347,1635.34196327746,2367.98685928174,2252.89581156228,2283.03373864657,2099.97546903017,2056.27520239291,2075.6614891508,1819.6065552356,2475.24659333387,2231.32481281241,1620.71255634189,1963.98445228527,1685.58077206007,2316.05287222471,1798.59360804416,2400.72101337871,2110.12350442505,1632.13704498679,1874.34563922682,2395.9688261951,2290.60168038479,2221.99422390037,1846.88988808688,2347.93157157557,2158.05886970162,1794.1774554806,1978.00927464637,2050.26670955643,2225.00557104725,2041.98267727115,1798.29517589648,2144.53425632941,2380.36331530643,2094.38083105647,2191.21438816046,2374.65606588617,1716.52767463739,2447.32733395053,1974.05331675907,2084.74591261956,2191.39163288165,1743.58527844554,1672.4554992634,2205.68532681712,2051.63279129385,1674.5971859085,1651.34460826612,2449.95217541464,1943.11637215173,2105.76388077845,1814.06536904457,2323.52184199013,2056.23547489291,2157.75646975391,2084.47001389597,2120.74050144767,2196.14620525332,1618.12958028228,2105.53393876807,1637.77058428338,2234.91385715297,1660.73804883736,1684.49168370042,1935.90177307472,1970.52925741956,2072.01058603678,2202.69080922741,2335.1024354735,2026.45336450497,1845.87651895278,1965.86084338968,2125.17293855083,1592.37341003223,2119.3678781896,1830.90723169702,1997.64367172386,1888.59607785512,2153.8302871526,2044.88957208727,2064.43712299316,2168.54046700312,2329.29315223696,2010.02893534828,1583.1148446727,2397.41089256125,1801.38275127377,2235.53307915383,2394.38721942943,2149.07992767927,1662.22970202562,1781.10695682507,2404.97920903003,2322.12539210487,2392.39939480364,2345.98408718543,2160.24324521561,2329.69605309763,2424.17539233608,1955.62579056499
2391.93540070354,1684.49191655546,2387.94112246241,2282.35355983151,2288.58846137663,2112.22446172175,2093.57149473924,2095.93072281898,1842.86137745176,2501.6994099824,2238.2122438149,1642.61325945576,1982.19001444261,1709.84449502081,2332.30673752519,1829.45381247915,2435.70630843804,2130.89087339876,1659.26006971372,1901.44039830141,2405.8265418105,2302.84490414398,2245.08169963262,1874.68264783572,2355.76369688016,2200.99614373113,1821.52096997814,2000.1514784018,2080.95652898806,2259.29473094915,2081.5016318251,1834.44734550284,2156.01857339056,2408.01303192451,2122.67632146959,2221.36822047552,2405.460202645,1746.99994056039,2465.35299912915,1991.13782903816,2101.52055543265,2193.90310476853,1766.4923066039,1709.32218830309,2223.27889308793,2072.91952694044,1702.42643889744,1689.42336880016,2471.47537886331,1963.89780144796,2147.76683423375,1841.034278439,2342.48407388687,2058.01911262777,2172.15727618809,2117.02232673121,2125.02011575242,2236.47184703047,1649.122101547,2124.33901365607,1688.62024944262,2256.69176943084,1683.53175383277,1713.76635302692,1963.51738043865,2003.91290861154,2099.08953434403,2216.56534778513,2353.65538654137,2075.17462593404,1884.37723536533,1992.16314995354,2147.75556875038,1622.45240636375,2164.08791679152,1875.89818958378,2023.64151976788,1923.8807141373,2176.60072385001,2063.37896786222,2078.55227973656,2187.9421379876,2341.06303392851,2036.55270575797,1609.70954380973,2404.90974635968,1820.1546780082,2274.48350472007,2417.91775304572,2144.57655622241,1702.51376224184,1823.66475687959,2444.2977518613,2343.34590046978,2416.47370561454,2360.03505679124,2170.57867906494,2339.38508042973,2453.62981172472,1995.95280359897
2363.91893549939,1704.9807719784,2369.61395389937,2274.45544169498,2259.02931550515,2091.64414779239,2096.0724913777,2082.84311187685,1836.73487821325,2487.33450963421,2210.69942305953,1638.58391488297,1969.15795374712,1706.84757739572,2311.58659544356,1830.49061878554,2430.26259853465,2117.66218594039,1659.70619398527,1897.82624057726,2378.110700237,2279.0204466933,2232.01985247953,1872.15466736325,2327.09036421857,2206.88803417304,1819.47110873951,1990.37600670746,2077.60172930532,2256.21284259656,2086.26115479476,1840.2702754543,2134.01027635216,2396.33182719039,2116.42648027725,2215.14394487912,2396.70122734035,1749.05745199743,2443.9678004799,1976.94666027275,2085.18494633646,2163.25558135248,1761.32397869209,1717.90365554078,2205.61794035168,2061.14185257496,1702.80158368175,1699.45980174083,2453.14954994696,1953.50093861881,2153.69881396118,1838.31650342472,2324.03337188963,2029.04318177936,2152.49092908047,2114.7628884047,2097.11537985394,2239.3387877897,1653.28210447652,2109.44832896796,1710.64747172381,2242.24497978219,1679.63587087542,1715.2788477996,1959.33476697242,2004.33038734646,2092.13090222868,2195.67205203137,2334.64506136187,2088.60043857989,1891.53151702996,1986.3008553072,2135.88473017352,1626.2129400235,2172.26356906135,1889.23465258651,2016.97158803206,1927.39799873665,2164.41251541319,2049.23349430397,2060.21541518836,2172.51247120077,2316.16356943856,2030.14367751121,1610.4914331564,2375.10048687826,1810.35210475695,2275.43277293527,2402.32096763259,2108.57816963017,1714.38261371007,1835.61427049989,2442.69134484835,2326.92366421757,2401.39551649594,2336.8609936194,2147.29446083329,2312.65077369809,2442.81745809914,2002.91331832305
2311.21812505885,1703.73618089428,2325.15960078405,2240.37664565621,2206.50270958056,2049.1494037264,2073.5591524379,2046.91436970593,1810.21314174607,2444.6710750537,2160.60288862253,1616.5523364959,1934.8520416203,1684.79609127157,2265.88272306089,1810.29593196322,2396.17640268553,2081.12818992029,1641.28154985438,1872.65681344624,2325.46582630437,2231.10866286418,2194.04106536052,1848.28094569753,2274.3509375087,2185.85590059585,1796.72688598902,1958.58972316169,2050.20286116962,2226.59771656401,2065.87376578441,1824.15042490505,2089.69790398662,2357.26817077265,2085.96691455356,2183.34604724541,2360.17957852838,1730.85023362894,2395.83259674928,1941.5353859313,2046.42357730341,2111.1705053851,1736.65561861391,1705.85508912413,2164.03357734043,2026.64610420506,1683.73962147662,1688.94311526603,2407.52862400102,1921.68506625304,2133.42836426815,1814.73531127788,2280.11053372868,1980.29109622224,2109.92591849542,2087.81286773419,2048.30052545859,2215.18788681709,1638.19290453439,2071.59363135826,1710.71705456261,2202.9244412129,1657.1698327683,1697.04596369188,1932.83157599781,1981.23631408986,2061.38878225959,2151.44780882918,2290.09071720665,2075.87632254932,1875.89807368194,1957.96623189905,2100.27253795843,1611.13049779045,2153.72816596212,1879.12332181967,1987.51391741889,1908.07218542122,2128.12977673534,2012.85839272829,2020.08350482266,2133.31427582822,2266.80618646909,2000.73202953713,1593.01331907763,2320.7094627776,1781.01281200956,2249.09579314593,2359.77249214406,2052.76204594956,1705.29561691138,1824.98547467403,2411.80255569182,2284.71304607679,2359.30979427347,2288.69189628036,2101.70388541471,2261.7726716915,2403.86451464167,1985.60460076497
2242.01209754089,1685.55676178525,2262.61587085234,2187.60640993303,2138.818485305,1991.80253557051,2032.6569368853,1995.05030780564,1769.19841256428,2382.0950290934,2095.52403344996,1581.68735881283,1885.76843071564,1649.0777263785,2203.06337372161,1774.60397517424,2341.43563915356,2028.32225655845,1609.14191894765,1832.0000169054,2256.11957261571,2166.90976715412,2138.58680441184,1809.01709471821,2205.59700346371,2144.82871274369,1759.04996774819,1911.30734919338,2005.45456334632,2177.76742987342,2026.87601480399,1791.74566940189,2030.32018045754,2298.8253103996,2038.19038329874,2133.21787710505,2303.83758814061,1697.80796187477,2329.31132997178,1891.44826467971,1992.20659022091,2045.11319340188,1698.10622274853,1678.34641840036,2105.95520473835,1976.23688975762,1650.54705133145,1662.94413590957,2342.95264334253,1874.84475415946,2093.6972573846,1776.13187399668,2218.58963769709,1918.70092950313,2051.73279036553,2042.97344301895,1985.7576419673,2171.13665699163,1608.9082277106,2017.80865701673,1693.59970503188,2146.23425223729,1621.44333261188,1664.39254655535,1890.30339769108,1940.98454575977,2013.6854175083,2091.34005172172,2227.91519609902,2043.31863188646,1843.27904018948,1913.58400814618,2047.99235210461,1582.17540201427,2115.23001611919,1851.19656440255,1941.81792030346,1871.91768390881,2074.9347957865,1961.05675048765,1965.06923424553,2077.61825006885,2200.94518904121,1954.90851473929,1562.25434108402,2249.98418777174,1738.01115265938,2202.76369888584,2298.3765888906,1984.44097199744,1680.32688664811,1797.26442728965,2359.57346250147,2224.56143487455,2298.30695337105,2223.53013742277,2041.11290097486,2194.72002208687,2344.92298700802,1950.21887389575
2162.06451220171,1654.12665639075,2187.76562497915,2121.62583301255,2061.42277419167,1924.57237792561,1978.28785618833,1932.19793681461,1717.93080485663,2305.7206234014,2020.77033675254,1537.68142290815,1826.52991303722,1603.56936522794,2128.74357803664,1727.61163916471,2271.95093809307,1964.29181192473,1567.02578543904,1780.25863902539,2175.87866274004,2091.94190205156,2071.03159236622,1758.69034097833,2126.48081963621,2089.00786954554,1710.62214774055,1853.20709026408,1948.25998556048,2115.12786752076,1974.14533866019,1747.25132105598,1960.96905272939,2226.84586221686,1978.12303414183,2070.06182605555,2233.50757477733,1653.90173194338,2250.40691548496,1831.32731482993,1927.49054126104,1970.23379605818,1649.70533851609,1639.22269025685,2036.68835127483,1914.79624311758,1607.07967086177,1625.24791128967,2265.44678436021,1817.554380001,2039.56090307979,1726.74211440926,2145.12103274499,1849.02895712319,1983.0593478636,1985.24712881556,1914.45203259968,2112.50442342735,1569.13166346514,1953.1180561634,1662.97294240848,2077.58276059563,1576.26065940189,1621.20118545843,1836.32661554868,1888.25488320813,1953.9779074513,2020.62385860736,2153.80031381499,1995.73183031481,1797.99919953975,1857.81199549951,1984.142586204,1542.98210052872,2061.85658174184,1809.71548246284,1884.62982073633,1823.38300515058,2010.0063932643,1898.68126320268,1900.05318442838,2010.63216160808,2124.20725341903,1897.45585154564,1521.81942655941,2168.71811869041,1685.51732941627,2141.87081276089,2224.00575045799,1908.56889158388,1643.28443350817,1756.58193634266,2291.92687611333,2152.12353329287,2224.25545157538,2147.06462740995,1970.65218480298,2117.10610350013,2271.96632373232,1901.38543911376
2075.5897785643,1612.43687528926,2104.93080165059,2046.61185701668,1978.25920027279,1851.10667156276,1914.27565548498,1862.05488773106,1659.60721348006,2220.1766605409,1940.19326720643,1487.31230200431,1760.57325879074,1551.20478087687,2047.08659351631,1672.54774269896,2192.27138751544,1892.81340856158,1517.78692237786,1720.78317258984,2088.99507081446,2010.26061994571,1995.41853124007,1700.60119129368,2041.12067012222,2022.47712272215,1654.63037443297,1787.8027285043,1882.37401913566,2042.84048207197,1911.49161807045,1693.93790467197,1885.37599835361,2145.76416074963,1909.58997845145,1997.92955600699,2153.64290942562,1602.18790406909,2163.59040386686,1764.6181003476,1855.94876924604,1890.23346888928,1594.49015555202,1591.49736525228,1960.17510835549,1845.98353964744,1556.28485758628,1578.83230184354,2179.52925305752,1753.23908879053,1974.98316877479,1669.7903025196,2063.91799766873,1774.67091631715,1907.70578534047,1918.47848019237,1837.95797164472,2043.43879857088,1521.72304213669,1881.26543834094,1621.83614896072,2001.02524058592,1524.48967149593,1570.45232664401,1774.38522220131,1826.65745016313,1886.03283409673,1943.18736763735,2071.97949920139,1936.94622789587,1743.44514778498,1794.18355366664,1912.55261755694,1496.35120586424,1997.6183432864,1758.07077884819,1819.54665606848,1765.92128425451,1937.23788796062,1829.34234285819,1828.6323836343,1936.24089066016,2040.72547424625,1832.00259776454,1474.45924480096,2081.13282862457,1626.63887258451,2070.63989762935,2141.08063554388,1828.63730412523,1597.18102853343,1706.21111747445,2213.45812193221,2071.63690484368,2141.57740963395,2063.49512991643,1894.06960704593,2033.03594991524,2189.54300243757,1842.73545383965
1985.75137110432,1563.01143570117,2017.43512086822,1965.84883773075,1892.26021067372,1774.15828796193,1843.69339605431,1787.47338779019,1596.719105327,2129.06784624684,1856.66504723002,1432.74550650193,1690.53828638361,1494.2846179815,1961.26898643821,1611.98281485762,2106.00615691354,1816.80333632112,1463.68948284915,1656.20956481885,1998.66493967902,1924.93150828756,1914.88226483864,1637.35219251733,1952.59717474617,1948.54898936667,1593.58869935463,1717.81933071009,1810.76809667349,1964.21416262664,1841.99280309172,1634.44662290937,1806.3537760334,2059.04668601746,1835.59946716447,1920.01314112765,2067.74868138815,1545.1039795827,2072.28395024469,1693.95433201372,1780.39083843853,1807.83401695505,1534.82883273337,1537.62521382063,1879.43451425859,1772.62770136617,1500.499063245,1526.13396206776,2088.68439448193,1684.54581519464,1903.17896583857,1607.81605857262,1978.21495943839,1698.11834444976,1828.55608568476,1845.72134448885,1758.91817979067,1967.28303194118,1468.97833720446,1805.12682786062,1572.73165300744,1919.69745321996,1468.37059285021,1514.51737409841,1707.22119722051,1759.07236533907,1812.80172216435,1861.98062884912,1985.69935621272,1870.12355545677,1682.36362028105,1725.46928144755,1836.19269936424,1444.52736359418,1925.78617757481,1699.0643192917,1749.38547157598,1702.30630332107,1859.64809441579,1755.814125649,1753.5357330635,1857.4330444476,1953.62045370118,1761.39379513669,1422.35550681472,1990.38426815748,1563.76685005369,1992.4612344028,2053.02643305738,1747.1636739249,1544.49575688432,1648.84625629587,2127.84400132299,1986.37007159055,2053.70353718748,1976.00945361313,1814.18471444871,1945.59377394375,2101.21953307803,1777.21520626819
1894.96959470884,1508.02212906411,1927.88166759779,1881.96617360653,1805.6508225658,1695.85805896311,1769.05672180079,1710.69933541673,1531.2571356093,2035.25030388411,1772.37278944929,1375.71292463871,1618.49670511006,1434.65714719025,1873.7603073149,1548.01205468867,2016.06663601449,1738.55856315726,1406.56495172426,1588.6607981769,1907.3366186471,1838.317178612,1831.90126870759,1571.04547656019,1863.26000980674,1869.95892480571,1529.52746523701,1645.41732241736,1735.83981067182,1881.92608770462,1768.18380443589,1570.95822033821,1726.07204057386,1969.45134350215,1758.5623983019,1838.87798304653,1978.63075976516,1484.63987249379,1979.15438736464,1621.40358998198,1703.00928246846,1725.09002884318,1472.61512492562,1479.64375712749,1796.82374797862,1696.96461991701,1441.61842230661,1469.18388011573,1995.64676456005,1613.56958791116,1826.80220335518,1542.86722036752,1890.54085635927,1621.2451600529,1747.85235567482,1769.44746448238,1679.33481307084,1886.77840959169,1412.77749213501,1726.95874526681,1517.85688360896,1836.0691501677,1409.69715427835,1455.32833506258,1637.04051561818,1687.84568512276,1736.64860795273,1779.28884431261,1897.49579078981,1797.92245242969,1617.03083588571,1653.88808291597,1757.41071053625,1389.34568113711,1849.07425151514,1635.04979975336,1676.3981203081,1634.81525052884,1779.62473072813,1680.27174722747,1676.88460412859,1776.55304350472,1865.29401174476,1687.90562871452,1367.27449381829,1898.87712549221,1498.7909189653,1910.10354578064,1962.54460147293,1666.011617939,1487.30607827621,1586.74318952422,2038.07531697911,1898.89273027415,1963.34233796327,1887.07333132968,1733.16255771325,1857.14226725186,2009.84097882756,1707.26569923381
1805.08893366778,1449.36254375265,1838.30990532817,1797.07734591417,1720.11155990275,1617.84683690821,1692.44205693536,1633.5079844657,1464.81965464477,1940.98816840377,1688.97577987599,1317.61403755483,1546.08309600101,1373.82210910309,1786.48070541469,1482.35598253624,1924.80939662526,1659.89565812746,1347.92131154246,1519.85625111195,1816.87849786867,1752.23613404866,1748.43879394254,1503.38822613719,1774.89386646653,1788.9817698324,1464.0988692873,1572.31946742231,1659.53859963328,1798.15475029506,1692.16707244596,1505.28928573152,1646.19831015232,1879.17622678562,1680.42361334887,1756.59268232833,1888.54229110894,1422.43627332666,1886.27706405973,1548.58529254911,1625.52112992958,1643.54036500433,1409.37380106872,1419.27059639358,1714.18626114333,1620.76655481548,1381.19861070772,1409.70199060473,1902.56237334885,1541.97394440472,1748.06146212079,1476.60679362462,1802.87529245963,1545.45007903831,1667.32980512709,1691.67209873556,1600.71328417824,1804.18798149258,1354.68536315929,1648.53534797637,1459.13555323157,1752.09136250948,1349.92020561953,1394.47583125063,1565.62823658892,1614.90102063901,1659.47457765946,1696.88009713794,1809.35109664208,1722.59542289921,1549.34881598306,1581.2288410228,1678.07191093163,1332.33206844811,1769.7529630384,1568.03233040456,1602.39811355256,1565.33115221393,1699.06234012446,1604.42875592193,1600.32433836791,1695.44487746553,1777.59083855103,1613.3723345455,1310.67159210027,1808.43487649989,1433.20860056208,1825.84164391138,1871.76813449763,1586.53998913178,1427.38013340258,1521.81845337796,1946.5935154371,1811.22504638715,1872.63586992635,1798.59142352205,1652.66434183335,1769.48581011335,1917.68152750748,1634.92288310062
1717.53506716903,1388.68633333874,1750.33532501219,1712.89821821652,1636.93204562059,1541.4164031598,1615.57493648889,1557.32164552591,1398.71037419917,1848.09352222817,1607.75326075136,1259.59520588995,1474.60525137463,1313.01155792034,1700.94070455748,1416.44330398238,1834.15756682997,1582.26967311958,1289.00382554024,1451.20717615799,1728.73634033583,1668.10683266905,1666.07050123466,1435.78622508145,1688.87447171042,1707.51972744507,1398.66428029284,1499.91350406668,1583.46186532064,1714.68729644218,1615.70043301168,1438.96656341848,1568.04020410759,1789.99181362706,1602.76731446337,1674.84361656188,1799.30913881797,1359.85977836789,1795.28578862449,1476.79474087638,1549.28993065878,1564.3543047311,1346.35104078714,1357.9568706877,1632.98349466717,1545.45798489301,1320.52980462481,1349.14805984612,1811.13258937872,1471.10016640826,1668.80479039212,1410.40272765651,1716.78428620999,1471.80331186094,1588.35949591145,1614.05182956212,1524.21270905709,1721.39202100801,1296.00932979806,1571.27252096423,1398.25384076254,1669.3235467456,1290.22814039848,1333.2830555913,1494.44790167491,1541.83261784124,1582.82437132077,1616.14509213242,1722.83163716348,1646.06011652291,1480.92026933005,1508.9503710207,1599.67520543115,1274.76026702621,1689.73084575777,1499.7205341323,1528.85840355425,1495.42641057372,1619.48354160777,1529.65323869097,1525.15644957307,1615.57829249144,1691.94700957964,1539.28638069273,1253.75075104861,1720.46041574001,1368.2294607554,1741.55766299446,1782.39790330071,1509.76574378384,1366.22561241494,1455.70155570328,1855.40666777073,1724.97660932246,1783.29352086915,1712.0537404489,1573.98585873342,1684.02219749685,1826.57447572419,1561.8990712426
1633.3971062961,1327.43316732566,1665.2272636711,1630.81028064812,1557.09020956751,1467.56992286593,1539.88196060057,1483.2710639522,1333.98797844363,1758.00401844655,1529.68127369191,1202.59612043592,1405.10317948134,1253.23721668762,1618.31941118406,1351.46073271064,1745.66645843465,1506.837073895,1230.85276429829,1383.8669599141,1644.01589604948,1587.02592562622,1586.04883537973,1369.39186639493,1606.24980870674,1627.15410945257,1334.34242528634,1429.31795907301,1508.91410942354,1632.97909172444,1540.24399369066,1373.26803576781,1492.60915596297,1703.31026890725,1526.87596729655,1594.9948069679,1712.39765154869,1298.04796412201,1707.4542450969,1407.05743443254,1475.38990263965,1488.41607263761,1284.56291168768,1296.93753212456,1554.363218072,1472.17629246671,1260.68001775474,1288.76808932433,1722.69470217464,1402.02362357845,1590.56990617872,1345.37673484788,1633.49828090729,1401.10971035348,1512.00945766227,1537.94106605355,1450.71048621309,1639.9421772738,1237.85213723508,1496.28990034301,1336.68447420438,1589.00132133566,1231.59675505753,1272.85071312824,1424.69154759884,1469.95322957257,1507.94943424188,1538.16515655147,1639.16620921247,1569.93999319398,1413.08925528405,1438.23651188756,1523.41653486689,1217.70408683239,1610.60278073186,1431.57480275668,1456.97483330221,1426.40874854231,1542.10158759912,1457.02972386457,1452.39932660796,1538.11442615063,1609.46952902066,1466.85781039936,1197.51945748614,1636.01951413088,1304.82488186102,1658.79747552087,1695.77985482465,1436.434613448,1305.13386923512,1389.78366518999,1766.15139282413,1641.41606088866,1696.67030257375,1628.61517771144,1498.12688816367,1601.82267498447,1737.98678231423,1489.62726556927
1553.50077238272,1266.84342300462,1583.97469262988,1551.91895942092,1481.32256220316,1397.08583350496,1466.53382693126,1412.25222492674,1271.50789671687,1671.84987348358,1455.49939107872,1147.38314089642,1338.40184959728,1195.3247115916,1539.52976931031,1288.37781805096,1660.58401087892,1434.51339623827,1174.32150134665,1318.77229914438,1563.55638885955,1509.83494031747,1509.36489343612,1305.14384353048,1527.81239067743,1549.18762187212,1272.04659344899,1361.42444445703,1436.9524665285,1554.20674104521,1467.0015157924,1309.25688553804,1420.68689326897,1620.25038599051,1453.7820168882,1518.14294915812,1628.97691601819,1237.9385148369,1623.76686181408,1340.18458651482,1404.66438868646,1416.38632048252,1224.83299393024,1237.2441514972,1479.2225326656,1401.8256151585,1202.53090553559,1229.60778326569,1638.29055021672,1335.60312712399,1514.62542151793,1282.4427317666,1553.97552140617,1333.97535460304,1439.1114645808,1464.43980510272,1380.87103373049,1561.10799927922,1181.12641465592,1424.47041404207,1275.69979259167,1512.09869400876,1174.8173291751,1214.08575423885,1357.32598971633,1400.33779621064,1435.85439508513,1463.77832656457,1559.3103755826,1495.59388617476,1346.97530597549,1370.04278144452,1450.24541231467,1162.05249290915,1533.68878811708,1364.82249563762,1387.70841757345,1359.35649329632,1467.87931585785,1387.4151729372,1382.84801249134,1463.96688873942,1531.00538901296,1397.06069358981,1142.80567050287,1555.91565132891,1243.77300812628,1578.82036151033,1612.96946300883,1367.09140746695,1245.1928915126,1325.2323698876,1680.15061498251,1561.537852534,1613.82988121366,1549.16395617316,1425.8561752772,1523.70227205606,1653.08129760468,1419.29532446853
